FormsResponseKey,ObservedValueCategory,CandidateQuestionLabel,Confidence,Evidence,ReviewRequired
responder,Email,Email,Confirmed,Responder system field; value uniquely matches the 'Email' column across all reference rows (value-based).,No
submitDate,Date,Completion time,Probable,Power Automate system field 'submitDate' (submission timestamp); known correspondence to Excel 'Completion time'. Not byte-matched (datetime formatting differs); review.,Yes
r90a4a472716942dfa4b9d5de21931774,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r074e7a91d52747519a8fe0e9af68e7dd,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r516051da52cf4166a478cd83a6e15291,Choice,,Unresolved,"Choice value matched multiple columns ('External Partner Involved?', 'Is there Network/Expert Community (IBEN) Impact to be considered regarding this opportunity?', 'Is there a Professional Learning Impact to be considered regarding this opportunity?', 'Are there any additional factors to be considered regarding this opportunity?', 'Does this suggested idea directly impact a local market?'); not distinctive, cannot disambiguate without positional assumptions.",Yes
r3e390836da294861a927ce63c8d0f2c6,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r90c6dc19b575459fa68b7a65b23a9a06,Number,,Unresolved,"Number value matched multiple columns ('Financial Impact: This opportunity requires additional budget to be piloted or taken to market.', 'Operational Impact: This opportunity requires operations (people, process, or system) changes.'); not distinctive, cannot disambiguate without positional assumptions.",Yes
rf7cbe61f26ab41cfa28f0b2a009e9d7c,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rfb959d52f2494d1b92e07856edeee015,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r5caae6a11afb406a8e77e0b242fb4cab,FreeText,Opportunity Description,Confirmed,"Distinctive FreeText value maps to exactly one column ('Opportunity Description') across the reference rows; value-based, not positional.",No
rbb5f5979ba74480fba871dbaaeb381e9,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r5f267e3e119041469c62a472d832324f,Choice,,Unresolved,"Choice value matched multiple columns ('External Partner Involved?', 'Is there Network/Expert Community (IBEN) Impact to be considered regarding this opportunity?', 'Is there a Professional Learning Impact to be considered regarding this opportunity?', 'Are there any additional factors to be considered regarding this opportunity?', 'Does this suggested idea directly impact a local market?'); not distinctive, cannot disambiguate without positional assumptions.",Yes
r8140da6e45c84dbcab391c05346d9b16,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rc12c559d019d4f9f9f8ed773c21c686f,FreeText,Internal Stakeholders Consulted,Confirmed,"Distinctive FreeText value maps to exactly one column ('Internal Stakeholders Consulted') across the reference rows; value-based, not positional.",No
r7ba397b729054a109e0b046c38744e73,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r0b456ff26ee24c11a9503908ffea1b53,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rf76887b82f1f4414a41f5e65ecef7cbd,Choice,,Unresolved,"Choice value matched multiple columns ('External Partner Involved?', 'Is there Network/Expert Community (IBEN) Impact to be considered regarding this opportunity?', 'Is there a Professional Learning Impact to be considered regarding this opportunity?', 'Are there any additional factors to be considered regarding this opportunity?', 'Does this suggested idea directly impact a local market?'); not distinctive, cannot disambiguate without positional assumptions.",Yes
rd668321450304780986d33d7e6f474b9,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r1903e1b8394140d19377b15fc81edd65,Number,,Unresolved,"Number value matched multiple columns ('Reputational Impact: This opportunity creates reputational risk for the organization.', 'Strategic importance: This opportunity is strategically important to the market, including through its potential to support significant programme acquisition and/or reduce significant retention risks.', 'Operational Impact: This opportunity requires a substantial volume of support from the IB to ensure it does not compromise our standards and quality.', 'Operational Impact: This opportunity requires operations (people, process, or system) changes.'); not distinctive, cannot disambiguate without positional assumptions.",Yes
r6957ab38b1994a988463479662e02998,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r577a0e5e42554b6f8d82f7c24b8f183b,FreeText,Comments & explanation of agreement score (Reputational Impact),Confirmed,"Distinctive FreeText value maps to exactly one column ('Comments & explanation of agreement score (Reputational Impact)') across the reference rows; value-based, not positional.",No
rb8a1472f55ed4f58b6932b6284ba874e,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rb797d6da9e514447b235f1c6897d06e4,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r1c4bea10de144dcdb6cbc8830f7c3e31,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r650d9f2a4d1f43e8938032a9cd60c658,FreeText,Comments & explanation of agreement score (Operational Impact),Confirmed,"Distinctive FreeText value maps to exactly one column ('Comments & explanation of agreement score (Operational Impact)') across the reference rows; value-based, not positional.",No
r1b7b5f6d2bb2486db74f1f1ebb0cb067,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r208f7c57b79d432da596a8fc1dc1e5e6,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r5d267e063680468b8f77617ee0269b60,FreeText,Internal Consultation Context & Outcomes,Confirmed,"Distinctive FreeText value maps to exactly one column ('Internal Consultation Context & Outcomes') across the reference rows; value-based, not positional.",No
r011318f6666745c891df6ed52af394b0,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r809645c3237a4bb4969b8082026cb3cc,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
re8d27932c227466996dbc77f67f71faa,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r758fbc5c9ddf44d9a1f7ef377c0dafba,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r587705b554a5436aa6663834b1582469,Choice,,Unresolved,"Choice value matched multiple columns ('External Partner Involved?', 'Is there Network/Expert Community (IBEN) Impact to be considered regarding this opportunity?', 'Is there a Professional Learning Impact to be considered regarding this opportunity?', 'Are there any additional factors to be considered regarding this opportunity?', 'Does this suggested idea directly impact a local market?'); not distinctive, cannot disambiguate without positional assumptions.",Yes
rf8348c8485dd40b08c00e76f66a3d428,FreeText,Anticipated timeline for implementation,Confirmed,"Distinctive FreeText value maps to exactly one column ('Anticipated timeline for implementation') across the reference rows; value-based, not positional.",No
r75f4515f78d946ac8a4274c151307c3e,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r8718cecca56b4ed692e9042452d04195,Date,Anticipated launch date,Confirmed,"Distinctive Date value maps to exactly one column ('Anticipated launch date') across the reference rows; value-based, not positional.",No
rf81976cae03249ef86d0d299bf126aac,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rf703806487ab4148994d2fd2edb79941,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r072e0a054db54072b75c27d3d8e90140,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
rba40cea72cef44df9c70637d7473d033,Empty,,Unresolved,Blank value; label not inferred (blank => Unresolved).,Yes
r1da539bd1a494208849da87ee257c128,MultiSelect,Strategic Goals,Probable,"Distinctive MultiSelect value matched column 'Strategic Goals' in 4 rows (dominant) plus incidental matches in 'Strategic Alignment Rationale'; likely 'Strategic Goals', review.",Yes
re95a3bb4ed594260b8745180ba8d56a7,Number,,Unresolved,"Number value matched multiple columns ('Financial Impact: This opportunity requires additional budget to be piloted or taken to market.', 'Operational Impact: This opportunity requires operations (people, process, or system) changes.'); not distinctive, cannot disambiguate without positional assumptions.",Yes
